index,participant_id,identification,audience,shorthand,item_id,intimacy,self-disclosure,valence,age,gender,area,social_media_use,facebook,twitter,instagram,snapchat,secret,yik_yak,whisper
57,4,real_name,nearby,RN,26,2,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58,4,real_name,nearby,RN,31,3,0,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
59,4,real_name,nearby,RN,35,3,0,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
60,4,real_name,nearby,RN,34,2,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
61,4,real_name,nearby,RN,9,-2,2,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
62,4,real_name,nearby,RN,29,0,2,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
63,4,real_name,nearby,RN,10,-1,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
64,4,real_name,nearby,RN,3,-3,3,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
65,4,real_name,nearby,RN,36,3,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
66,4,real_name,nearby,RN,30,3,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
67,4,real_name,nearby,RN,21,0,1,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
68,4,real_name,nearby,RN,14,0,1,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
69,4,real_name,nearby,RN,18,1,1,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
70,4,real_name,nearby,RN,28,2,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
71,4,real_name,nearby,RN,15,-1,2,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
72,5,anonymous,nearby,AN,20,1,0,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
73,5,anonymous,nearby,AN,19,1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74,5,anonymous,nearby,AN,22,-1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
75,5,anonymous,nearby,AN,32,2,0,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
76,5,anonymous,nearby,AN,8,1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77,5,anonymous,nearby,AN,17,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
78,5,anonymous,nearby,AN,1,-2,2,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
79,5,anonymous,nearby,AN,13,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80,5,anonymous,nearby,AN,6,0,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,5,anonymous,nearby,AN,16,-1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
82,5,anonymous,nearby,AN,25,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
83,5,anonymous,nearby,AN,27,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,5,anonymous,nearby,AN,2,-2,2,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
85,5,anonymous,nearby,AN,4,0,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
86,5,anonymous,nearby,AN,24,2,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
87,5,anonymous,nearby,AN,5,0,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
88,5,anonymous,nearby,AN,7,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
89,5,anonymous,nearby,AN,12,-1,1,negative,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
90,5,anonymous,nearby,AN,23,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
91,5,anonymous,nearby,AN,11,-1,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
92,5,anonymous,nearby,AN,33,0,1,positive,56,Female,Suburban,Occasionally,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
